instance_id,duration_hours,interrupted,service
DY-75545,8.74,0,DynamoDB
DY-49809,13.63,0,DynamoDB
LA-18512,19.63,0,Lambda
DY-89767,1.06,0,DynamoDB
EC-52078,19.27,0,EC2
LA-10235,20.1,0,Lambda
DY-80792,22.46,0,DynamoDB
EC-15415,9.72,0,EC2
DY-97388,2.11,0,DynamoDB
S3-40523,19.29,0,S3
DY-29282,4.78,0,DynamoDB
S3-30611,13.03,0,S3
DY-53303,14.53,0,DynamoDB
RD-49711,17.42,0,RDS
DY-97062,7.93,0,DynamoDB
LA-77728,14.28,0,Lambda
LA-28381,9.83,0,Lambda
S3-21302,6.27,0,S3
LA-93122,22.62,0,Lambda
EC-90910,4.2,0,EC2
RD-35053,12.39,0,RDS
RD-20789,19.14,0,RDS
EC-42154,17.26,0,EC2
S3-29029,1.77,0,S3
EC-53872,12.36,0,EC2
EC-39486,13.34,0,EC2
RD-50631,3.93,0,RDS
DY-24382,13.42,0,DynamoDB
RD-26478,18.75,0,RDS
RD-81315,14.01,0,RDS
LA-86325,21.89,0,Lambda
EC-86077,10.74,0,EC2
RD-83319,21.97,0,RDS
EC-66942,15.06,0,EC2
LA-49915,14.64,0,Lambda
EC-70279,17.02,0,EC2
RD-37632,15.98,1,RDS
EC-96066,14.95,0,EC2
LA-13797,22.49,0,Lambda
DY-32116,3.82,0,DynamoDB
EC-29256,20.29,0,EC2
RD-49282,8.16,0,RDS
LA-66264,10.18,0,Lambda
RD-49224,5.73,0,RDS
RD-35150,8.67,1,RDS
EC-83509,20.86,0,EC2
RD-67761,8.98,0,RDS
EC-51914,14.5,0,EC2
DY-77526,4.24,0,DynamoDB
RD-56240,1.78,0,RDS
RD-14757,14.35,0,RDS
RD-37696,5.89,0,RDS
S3-59840,23.1,0,S3
S3-31566,20.79,0,S3
LA-85520,12.55,0,Lambda
S3-12482,10.14,0,S3
LA-12079,21.66,0,Lambda
S3-52460,15.37,0,S3
DY-28449,13.99,0,DynamoDB
LA-38865,17.42,0,Lambda
S3-21485,12.07,0,S3
DY-65168,4.57,0,DynamoDB
S3-58770,2.74,0,S3
EC-85629,7.23,0,EC2
EC-91974,19.42,0,EC2
DY-91244,17.47,0,DynamoDB
RD-65106,13.69,0,RDS
RD-84055,16.45,0,RDS
EC-82258,19.4,0,EC2
EC-89111,13.8,0,EC2
RD-41821,6.59,0,RDS
LA-22175,19.56,0,Lambda
RD-96925,16.37,0,RDS
S3-16150,21.62,0,S3
LA-70500,17.93,0,Lambda
S3-23859,5.17,0,S3
EC-52880,17.19,0,EC2
LA-25358,8.86,0,Lambda
S3-24596,14.58,0,S3
S3-72516,18.8,0,S3
LA-27771,22.81,0,Lambda
DY-29063,20.97,0,DynamoDB
RD-47599,11.83,0,RDS
S3-12573,1.52,0,S3
RD-70774,17.07,0,RDS
RD-61693,15.84,0,RDS
EC-86908,13.09,0,EC2
RD-66133,16.71,0,RDS
S3-48243,3.71,0,S3
EC-32180,2.55,0,EC2
LA-11622,20.08,0,Lambda
S3-61226,4.22,0,S3
EC-14263,21.1,0,EC2
EC-57924,15.56,0,EC2
RD-45737,22.03,0,RDS
LA-46397,18.73,0,Lambda
S3-71120,4.82,0,S3
S3-88617,14.87,0,S3
RD-99599,20.25,0,RDS
LA-38769,17.6,0,Lambda
S3-99399,22.94,0,S3
LA-77298,1.72,0,Lambda
S3-34058,20.47,0,S3
RD-42921,8.69,0,RDS
DY-45111,8.92,0,DynamoDB
S3-84666,12.4,0,S3
EC-34354,11.57,0,EC2
EC-85186,19.39,0,EC2
DY-61474,14.58,0,DynamoDB
S3-16960,19.57,0,S3
EC-67134,22.86,0,EC2
EC-10338,23.04,1,EC2
S3-11750,19.55,0,S3
LA-80855,15.66,0,Lambda
S3-87454,12.26,0,S3
LA-37935,2.19,0,Lambda
DY-22182,22.28,0,DynamoDB
RD-92310,11.88,0,RDS
DY-79768,17.04,0,DynamoDB
RD-51786,3.65,0,RDS
EC-64237,11.91,0,EC2
EC-27850,11.47,1,EC2
EC-84910,1.85,0,EC2
LA-67132,13.9,0,Lambda
RD-12983,17.01,0,RDS
EC-50998,10.3,0,EC2
S3-64620,13.41,0,S3
RD-89273,17.97,0,RDS
RD-62393,10.6,0,RDS
LA-85532,1.01,0,Lambda
DY-79346,22.6,0,DynamoDB
LA-55084,1.22,0,Lambda
EC-83972,10.24,0,EC2
S3-93691,14.36,0,S3
S3-60072,18.67,0,S3
EC-20816,13.02,0,EC2
S3-43933,3.54,0,S3
LA-42913,20.61,0,Lambda
LA-45400,1.97,0,Lambda
EC-84691,10.01,0,EC2
S3-55028,22.85,0,S3
RD-66638,10.6,0,RDS
DY-44636,11.75,0,DynamoDB
RD-72211,18.1,0,RDS
LA-91470,22.68,0,Lambda
LA-44157,20.1,0,Lambda
LA-92856,5.06,0,Lambda
LA-91412,18.93,0,Lambda
DY-56600,23.29,0,DynamoDB
EC-36172,23.88,0,EC2
LA-35425,12.85,0,Lambda
S3-38831,4.54,0,S3
DY-43660,15.33,0,DynamoDB
LA-44701,14.64,0,Lambda
S3-33874,11.52,0,S3
LA-27602,11.96,0,Lambda
EC-39192,20.83,0,EC2
DY-68762,22.43,0,DynamoDB
EC-43742,10.39,1,EC2
DY-80831,17.0,1,DynamoDB
LA-19903,2.86,0,Lambda
LA-55648,2.75,0,Lambda
DY-12396,21.31,0,DynamoDB
S3-21303,14.14,0,S3
S3-96231,14.01,0,S3
LA-75082,16.14,0,Lambda
LA-61756,8.68,0,Lambda
EC-96206,16.64,0,EC2
LA-73620,5.35,0,Lambda
DY-59138,21.05,0,DynamoDB
S3-12719,1.12,0,S3
S3-28787,18.1,0,S3
EC-43062,18.4,0,EC2
S3-85418,2.93,0,S3
S3-41966,15.53,0,S3
RD-73852,1.21,0,RDS
DY-57517,3.46,0,DynamoDB
RD-23281,10.94,1,RDS
S3-36660,15.55,0,S3
EC-93807,22.56,0,EC2
EC-60192,22.79,0,EC2
S3-19077,17.3,0,S3
LA-77889,15.28,0,Lambda
RD-31195,16.55,0,RDS
S3-37083,3.99,0,S3
EC-17813,1.51,1,EC2
EC-37082,19.83,0,EC2
RD-36029,11.26,0,RDS
DY-99186,22.72,0,DynamoDB
S3-51846,4.76,0,S3
S3-60975,7.86,0,S3
DY-13093,16.65,0,DynamoDB
RD-54413,20.97,0,RDS
RD-63268,10.94,0,RDS
EC-63331,20.72,0,EC2
DY-15626,7.31,0,DynamoDB
RD-29982,21.56,0,RDS
LA-94976,5.61,0,Lambda
S3-48158,9.48,0,S3
EC-31563,13.49,0,EC2
DY-78916,20.98,0,DynamoDB
EC-95553,11.43,0,EC2
RD-92879,15.4,0,RDS
RD-63625,21.97,0,RDS
LA-78760,19.32,0,Lambda
S3-38541,14.76,1,S3
DY-75455,10.9,0,DynamoDB
EC-15109,2.48,0,EC2
S3-92503,14.58,0,S3
RD-36589,11.47,0,RDS
S3-72046,12.04,0,S3
EC-51688,16.11,0,EC2
S3-40087,18.94,0,S3
RD-85304,18.23,0,RDS
S3-48559,23.69,0,S3
DY-58787,12.09,0,DynamoDB
S3-71681,18.84,0,S3
DY-37424,12.91,0,DynamoDB
S3-98652,2.9,0,S3
RD-91061,10.13,0,RDS
LA-91905,16.86,0,Lambda
LA-35003,1.95,0,Lambda
DY-59786,15.64,0,DynamoDB
DY-36015,22.53,0,DynamoDB
LA-36289,22.51,0,Lambda
RD-71550,19.02,0,RDS
RD-56163,2.84,0,RDS
S3-91941,14.74,0,S3
DY-31288,15.8,0,DynamoDB
RD-25313,11.09,0,RDS
EC-11560,6.68,1,EC2
S3-30022,6.04,0,S3
S3-38380,18.12,0,S3
LA-99899,16.15,0,Lambda
DY-10661,17.54,0,DynamoDB
RD-70315,13.48,0,RDS
RD-26309,16.65,0,RDS
S3-40027,6.93,0,S3
DY-69321,23.1,0,DynamoDB
DY-88339,10.79,0,DynamoDB
DY-49063,18.66,0,DynamoDB
LA-75128,12.82,0,Lambda
RD-32015,17.68,0,RDS
DY-86707,14.75,0,DynamoDB
LA-27778,7.37,0,Lambda
EC-58364,9.26,0,EC2
S3-67056,20.23,0,S3
RD-33279,17.46,0,RDS
RD-76061,15.55,0,RDS
S3-74324,5.16,0,S3
EC-60677,11.05,1,EC2
LA-80135,11.24,0,Lambda
S3-79350,16.24,0,S3
LA-77649,9.99,0,Lambda
LA-23760,1.21,0,Lambda
LA-22588,4.01,0,Lambda
EC-62233,6.4,0,EC2
EC-81260,4.9,1,EC2
LA-52240,20.06,0,Lambda
DY-33499,14.52,0,DynamoDB
RD-81635,4.84,0,RDS
EC-61886,14.93,0,EC2
DY-19847,11.92,0,DynamoDB
DY-77278,14.46,0,DynamoDB
RD-44707,13.42,0,RDS
LA-57614,2.31,0,Lambda
DY-90896,2.19,0,DynamoDB
DY-38404,11.4,0,DynamoDB
DY-74178,3.38,0,DynamoDB
LA-45057,4.41,0,Lambda
LA-55272,1.11,0,Lambda
EC-66503,20.96,0,EC2
EC-89141,12.24,0,EC2
DY-42556,1.69,0,DynamoDB
LA-92811,22.62,0,Lambda
LA-33196,23.31,0,Lambda
RD-58320,20.97,0,RDS
DY-98009,22.73,0,DynamoDB
EC-34089,6.62,1,EC2
RD-60138,14.12,0,RDS
LA-41890,16.86,0,Lambda
EC-52287,20.02,0,EC2
DY-46059,3.45,0,DynamoDB
LA-15704,14.91,0,Lambda
DY-82460,23.85,0,DynamoDB
RD-76024,14.04,0,RDS
RD-39165,15.96,0,RDS
RD-46321,11.08,0,RDS
S3-35426,19.35,0,S3
DY-61924,9.64,0,DynamoDB
RD-19108,9.43,0,RDS
RD-93360,13.62,0,RDS
DY-32443,9.58,0,DynamoDB
RD-86743,14.5,1,RDS
DY-87576,15.25,0,DynamoDB
LA-45631,20.86,0,Lambda
DY-74732,22.03,0,DynamoDB
DY-91889,9.74,0,DynamoDB
S3-56819,6.66,0,S3
LA-91709,18.59,0,Lambda
S3-68348,22.98,0,S3
RD-79967,10.91,0,RDS
DY-66088,21.65,0,DynamoDB
LA-55379,9.74,0,Lambda
S3-56881,9.09,0,S3
DY-67716,15.2,0,DynamoDB
EC-82430,8.07,0,EC2
S3-64691,14.36,0,S3
LA-53596,10.2,0,Lambda
S3-54139,3.8,0,S3
S3-13654,13.08,0,S3
S3-84172,19.25,0,S3
RD-22149,23.15,0,RDS
EC-81031,13.66,0,EC2
LA-98204,3.58,0,Lambda
LA-98789,19.84,0,Lambda
LA-91929,19.26,0,Lambda
DY-41401,9.3,0,DynamoDB
LA-44084,9.13,0,Lambda
LA-46451,17.84,0,Lambda
EC-75681,16.35,0,EC2
DY-74174,4.44,0,DynamoDB
DY-27014,20.99,0,DynamoDB
S3-78388,5.1,0,S3
RD-33711,14.96,0,RDS
DY-67784,6.91,0,DynamoDB
DY-14358,23.72,0,DynamoDB
EC-42117,10.3,0,EC2
LA-65754,17.66,0,Lambda
DY-70946,3.95,0,DynamoDB
DY-41007,8.76,0,DynamoDB
RD-83379,2.83,0,RDS
EC-20106,8.44,0,EC2
RD-82240,15.19,0,RDS
DY-78011,16.4,0,DynamoDB
DY-66549,13.42,0,DynamoDB
EC-55113,16.64,0,EC2
S3-29201,16.4,0,S3
S3-19686,23.9,0,S3
DY-54843,2.38,0,DynamoDB
DY-58604,23.12,0,DynamoDB
RD-10207,5.62,0,RDS
RD-78619,10.72,0,RDS
RD-49891,16.29,0,RDS
LA-82982,9.8,0,Lambda
DY-72711,4.51,0,DynamoDB
LA-23395,20.37,0,Lambda
S3-14895,3.05,0,S3
DY-75061,20.0,0,DynamoDB
DY-26163,2.45,0,DynamoDB
EC-94328,7.05,0,EC2
DY-94416,22.55,0,DynamoDB
S3-28073,10.13,0,S3
DY-93362,12.86,0,DynamoDB
LA-80971,14.22,0,Lambda
DY-22329,5.8,0,DynamoDB
LA-86957,15.44,0,Lambda
RD-83861,20.97,0,RDS
RD-50461,5.88,0,RDS
EC-16721,10.27,1,EC2
DY-82909,6.14,0,DynamoDB
RD-15656,15.74,0,RDS
RD-39984,12.03,0,RDS
EC-41055,12.2,0,EC2
EC-21138,5.02,0,EC2
DY-81308,19.98,0,DynamoDB
LA-27347,2.57,0,Lambda
DY-99099,23.15,0,DynamoDB
LA-87452,10.95,0,Lambda
EC-62188,21.15,0,EC2
S3-28268,15.74,0,S3
DY-82146,14.86,0,DynamoDB
S3-52913,13.98,0,S3
LA-59841,2.34,0,Lambda
DY-35032,16.99,0,DynamoDB
S3-71588,4.93,0,S3
S3-19074,7.98,0,S3
DY-51568,16.91,0,DynamoDB
S3-33312,23.92,0,S3
DY-78828,6.08,0,DynamoDB
S3-67009,13.12,0,S3
EC-81229,21.39,0,EC2
DY-36715,9.15,0,DynamoDB
EC-86373,5.07,0,EC2
RD-73037,6.72,0,RDS
EC-83294,1.44,0,EC2
S3-15542,16.66,0,S3
LA-69353,8.44,0,Lambda
EC-57076,23.45,0,EC2
EC-63744,12.22,0,EC2
EC-39300,11.45,0,EC2
LA-47487,4.45,0,Lambda
LA-24056,11.95,0,Lambda
EC-65316,20.77,0,EC2
RD-40911,4.06,0,RDS
LA-74641,8.25,0,Lambda
LA-99097,6.86,0,Lambda
LA-61431,6.82,0,Lambda
DY-38602,15.66,0,DynamoDB
EC-83616,6.22,0,EC2
RD-57684,12.92,0,RDS
LA-51991,12.78,0,Lambda
DY-73530,2.95,0,DynamoDB
S3-99570,19.45,0,S3
S3-98340,23.0,0,S3
LA-58355,11.62,0,Lambda
RD-74027,18.82,0,RDS
RD-86295,10.48,0,RDS
EC-88815,1.48,0,EC2
LA-71063,21.67,0,Lambda
S3-62161,15.37,0,S3
EC-60979,1.24,0,EC2
RD-69560,18.82,0,RDS
EC-16910,12.0,0,EC2
S3-35227,19.37,0,S3
RD-49071,3.62,0,RDS
DY-74379,19.67,0,DynamoDB
DY-68279,2.01,0,DynamoDB
LA-80119,3.19,0,Lambda
EC-87425,11.11,0,EC2
RD-56804,6.54,0,RDS
LA-94080,12.41,0,Lambda
EC-58758,7.58,0,EC2
S3-53950,6.94,0,S3
RD-25997,18.37,0,RDS
EC-92566,17.76,0,EC2
RD-67941,2.24,0,RDS
EC-33387,7.19,0,EC2
S3-74028,4.79,0,S3
RD-58689,3.11,0,RDS
DY-30567,12.63,0,DynamoDB
S3-37044,10.51,0,S3
EC-18894,12.69,0,EC2
RD-39725,4.49,0,RDS
S3-66447,15.63,0,S3
EC-75095,4.7,0,EC2
DY-92368,17.71,0,DynamoDB
DY-78056,5.46,0,DynamoDB
EC-90102,17.86,0,EC2
DY-77695,16.82,0,DynamoDB
S3-57701,13.75,0,S3
DY-45851,20.32,0,DynamoDB
LA-29873,5.66,0,Lambda
DY-46751,16.6,0,DynamoDB
LA-22087,8.03,0,Lambda
RD-19596,3.87,0,RDS
S3-76549,18.95,0,S3
RD-88645,10.01,0,RDS
RD-74429,1.07,0,RDS
DY-25379,19.27,0,DynamoDB
DY-46060,21.11,0,DynamoDB
DY-33225,2.49,0,DynamoDB
RD-21005,13.9,0,RDS
S3-24226,14.79,0,S3
S3-78926,19.98,0,S3
LA-52092,2.35,0,Lambda
EC-23428,23.59,0,EC2
S3-67775,12.9,0,S3
DY-16256,3.81,0,DynamoDB
LA-11651,3.04,0,Lambda
DY-85054,19.43,0,DynamoDB
RD-85564,22.46,0,RDS
RD-59811,15.66,0,RDS
DY-40254,3.72,0,DynamoDB
S3-24472,9.83,0,S3
EC-18329,5.67,0,EC2
DY-16397,1.6,0,DynamoDB
S3-93820,17.05,0,S3
LA-35122,2.29,0,Lambda
DY-72812,21.07,0,DynamoDB
LA-35279,12.06,0,Lambda
S3-29715,4.07,0,S3
S3-12839,21.79,0,S3
S3-23493,18.61,0,S3
S3-17736,4.02,0,S3
RD-55603,16.11,0,RDS
S3-47481,7.5,0,S3
RD-10162,7.02,0,RDS
EC-60057,19.1,0,EC2
RD-19833,18.47,0,RDS
LA-51800,7.17,0,Lambda
EC-12643,1.77,0,EC2
LA-25892,13.93,0,Lambda
DY-24289,10.46,0,DynamoDB
DY-87454,13.61,0,DynamoDB
RD-87465,10.05,0,RDS
LA-80968,6.98,0,Lambda
DY-38228,23.53,0,DynamoDB
DY-36928,5.56,0,DynamoDB
DY-39055,23.36,0,DynamoDB
EC-16304,5.21,0,EC2
EC-98553,6.18,0,EC2
S3-12336,16.73,0,S3
LA-17521,3.64,0,Lambda
DY-65718,13.48,0,DynamoDB
LA-60669,13.5,0,Lambda
S3-23140,12.15,0,S3
RD-78673,16.28,0,RDS
S3-88258,20.83,0,S3
DY-84071,13.54,0,DynamoDB
RD-80202,3.57,0,RDS
RD-20800,2.2,0,RDS
S3-22819,6.95,0,S3
DY-88707,18.44,0,DynamoDB
RD-28133,5.71,0,RDS
S3-66700,6.88,0,S3
S3-49961,23.65,0,S3
DY-32263,13.71,0,DynamoDB
S3-33648,21.91,0,S3
S3-74166,19.36,0,S3
S3-89025,19.91,0,S3
LA-12551,11.14,0,Lambda
EC-61707,3.16,0,EC2
LA-17239,14.28,0,Lambda
S3-97983,10.11,0,S3
EC-16971,12.96,0,EC2
RD-94742,19.25,0,RDS
LA-10282,9.35,0,Lambda
LA-95120,23.62,0,Lambda
LA-27071,9.36,0,Lambda
DY-21205,11.13,0,DynamoDB
S3-72987,20.71,0,S3
RD-64400,8.35,0,RDS
RD-62756,23.63,0,RDS
RD-43691,8.43,0,RDS
S3-18438,10.83,0,S3
EC-65426,16.8,0,EC2
LA-34217,17.55,0,Lambda
S3-25036,17.82,0,S3
LA-10645,7.82,0,Lambda
S3-40090,8.23,0,S3
LA-28888,15.99,0,Lambda
S3-19346,12.37,0,S3
EC-79615,13.09,0,EC2
RD-35556,20.0,0,RDS
LA-81986,21.82,0,Lambda
S3-94246,18.22,0,S3
EC-82516,9.1,0,EC2
EC-42602,20.41,0,EC2
RD-97969,3.9,0,RDS
S3-10155,16.79,0,S3
LA-48547,4.84,0,Lambda
DY-51814,20.25,0,DynamoDB
EC-97960,8.83,1,EC2
EC-81906,9.29,0,EC2
RD-18179,10.39,0,RDS
S3-63798,21.04,0,S3
DY-66526,2.36,0,DynamoDB
DY-82954,21.87,0,DynamoDB
DY-93297,4.89,1,DynamoDB
S3-12659,11.59,0,S3
LA-56738,3.96,0,Lambda
EC-18787,3.55,0,EC2
S3-71709,10.69,0,S3
DY-28351,7.44,0,DynamoDB
EC-94866,23.37,0,EC2
EC-15075,19.51,0,EC2
DY-58200,15.29,0,DynamoDB
DY-88610,20.08,0,DynamoDB
EC-60085,3.59,0,EC2
RD-53472,2.57,0,RDS
EC-87175,1.29,0,EC2
LA-21240,19.96,0,Lambda
LA-81363,18.09,0,Lambda
RD-24849,21.18,0,RDS
S3-73095,14.64,0,S3
EC-45292,2.82,0,EC2
LA-69659,7.56,0,Lambda
EC-68929,23.9,0,EC2
RD-89151,16.15,0,RDS
DY-26288,14.78,0,DynamoDB
RD-56403,13.08,0,RDS
RD-69871,2.49,0,RDS
RD-42174,12.9,0,RDS
LA-81853,21.95,0,Lambda
RD-36649,14.84,0,RDS
DY-90404,4.92,0,DynamoDB
DY-88002,14.61,0,DynamoDB
DY-41259,12.78,0,DynamoDB
S3-18770,19.1,0,S3
RD-27569,22.86,0,RDS
DY-42327,23.63,0,DynamoDB
S3-36512,2.63,0,S3
RD-14378,14.89,1,RDS
