service,cost,usage,usage_start_time
DynamoDB,0.5136,0.6908,2024-01-05 10:00:00
RDS,1.6327,0.4369,2024-01-05 11:00:00
Lambda,0.4096,0.3454,2024-01-05 12:00:00
S3,0.0971,0.4029,2024-01-05 13:00:00
S3,0.2095,0.9629,2024-01-05 14:00:00
DynamoDB,0.4218,0.6373,2024-01-05 15:00:00
RDS,1.5397,0.4056,2024-01-05 16:00:00
EC2,2.3291,0.5129,2024-01-05 17:00:00
EC2,1.7715,0.3569,2024-01-05 18:00:00
EC2,1.7172,0.3539,2024-01-05 19:00:00
S3,0.1182,0.5091,2024-01-05 20:00:00
S3,0.23,0.9288,2024-01-05 21:00:00
RDS,0.3451,0.095,2024-01-05 22:00:00
DynamoDB,0.276,0.3676,2024-01-05 23:00:00
EC2,1.6298,0.3415,2024-01-06 00:00:00
RDS,2.2572,0.601,2024-01-06 01:00:00
RDS,0.9201,0.2599,2024-01-06 02:00:00
DynamoDB,0.2821,0.405,2024-01-06 03:00:00
RDS,3.1333,0.8531,2024-01-06 04:00:00
DynamoDB,0.1866,0.2478,2024-01-06 05:00:00
Lambda,1.1666,0.9244,2024-01-06 06:00:00
DynamoDB,0.1378,0.1961,2024-01-06 07:00:00
EC2,3.4883,0.7534,2024-01-06 08:00:00
EC2,2.9355,0.5888,2024-01-06 09:00:00
DynamoDB,0.2258,0.3146,2024-01-06 10:00:00
Lambda,0.0,0.0,2024-01-06 11:00:00
Lambda,0.5057,0.4495,2024-01-06 12:00:00
EC2,3.6834,0.8265,2024-01-06 13:00:00
Lambda,0.4976,0.412,2024-01-06 14:00:00
RDS,2.634,0.7883,2024-01-06 15:00:00
S3,0.1759,0.7326,2024-01-06 16:00:00
RDS,1.1186,0.3037,2024-01-06 17:00:00
EC2,2.5133,0.5398,2024-01-06 18:00:00
Lambda,0.6049,0.514,2024-01-06 19:00:00
DynamoDB,0.3888,0.5227,2024-01-06 20:00:00
S3,0.184,0.8172,2024-01-06 21:00:00
DynamoDB,0.602,0.9266,2024-01-06 22:00:00
EC2,2.3206,0.4696,2024-01-06 23:00:00
Lambda,0.6467,0.5562,2024-01-07 00:00:00
DynamoDB,0.3219,0.4584,2024-01-07 01:00:00
DynamoDB,0.2868,0.3821,2024-01-07 02:00:00
S3,0.1324,0.5714,2024-01-07 03:00:00
S3,0.1657,0.6799,2024-01-07 04:00:00
Lambda,0.8201,0.6626,2024-01-07 05:00:00
S3,0.078,0.3342,2024-01-07 06:00:00
DynamoDB,0.4819,0.6495,2024-01-07 07:00:00
DynamoDB,0.3591,0.4958,2024-01-07 08:00:00
EC2,3.5193,0.7555,2024-01-07 09:00:00
DynamoDB,0.4343,0.6094,2024-01-07 10:00:00
Lambda,0.5778,0.4565,2024-01-07 11:00:00
RDS,2.4917,0.6651,2024-01-07 12:00:00
EC2,3.6571,0.7611,2024-01-07 13:00:00
EC2,3.0073,0.6364,2024-01-07 14:00:00
Lambda,0.6734,0.5648,2024-01-07 15:00:00
Lambda,0.6418,0.5194,2024-01-07 16:00:00
S3,0.0892,0.3364,2024-01-07 17:00:00
EC2,1.3472,0.2988,2024-01-07 18:00:00
S3,0.1825,0.7316,2024-01-07 19:00:00
DynamoDB,0.464,0.6248,2024-01-07 20:00:00
EC2,2.2811,0.4976,2024-01-07 21:00:00
EC2,2.389,0.5152,2024-01-07 22:00:00
RDS,2.4837,0.695,2024-01-07 23:00:00
EC2,1.5817,0.3349,2024-01-08 00:00:00
DynamoDB,0.4076,0.5826,2024-01-08 01:00:00
S3,0.0815,0.3356,2024-01-08 02:00:00
S3,0.1284,0.549,2024-01-08 03:00:00
RDS,1.4778,0.4058,2024-01-08 04:00:00
DynamoDB,0.1408,0.2104,2024-01-08 05:00:00
S3,0.0846,0.3563,2024-01-08 06:00:00
Lambda,0.7244,0.5622,2024-01-08 07:00:00
DynamoDB,0.4796,0.6715,2024-01-08 08:00:00
DynamoDB,0.3394,0.4962,2024-01-08 09:00:00
RDS,1.7609,0.4963,2024-01-08 10:00:00
S3,0.1299,0.5645,2024-01-08 11:00:00
DynamoDB,0.4681,0.6039,2024-01-08 12:00:00
S3,0.1171,0.4782,2024-01-08 13:00:00
Lambda,0.7503,0.638,2024-01-08 14:00:00
RDS,1.9626,0.5448,2024-01-08 15:00:00
Lambda,0.5993,0.5195,2024-01-08 16:00:00
RDS,1.8629,0.5049,2024-01-08 17:00:00
DynamoDB,0.5963,0.7902,2024-01-08 18:00:00
RDS,3.2217,0.9306,2024-01-08 19:00:00
EC2,3.2671,0.6745,2024-01-08 20:00:00
S3,0.216,0.938,2024-01-08 21:00:00
S3,0.0773,0.3321,2024-01-08 22:00:00
EC2,0.3516,0.0752,2024-01-08 23:00:00
Lambda,0.4209,0.3482,2024-01-09 00:00:00
EC2,2.984,0.5684,2024-01-09 01:00:00
DynamoDB,0.4825,0.6901,2024-01-09 02:00:00
DynamoDB,0.2363,0.3203,2024-01-09 03:00:00
S3,0.0618,0.236,2024-01-09 04:00:00
DynamoDB,0.5174,0.7359,2024-01-09 05:00:00
S3,0.0403,0.1574,2024-01-09 06:00:00
EC2,2.4318,0.4771,2024-01-09 07:00:00
EC2,0.8433,0.1811,2024-01-09 08:00:00
EC2,2.4107,0.501,2024-01-09 09:00:00
S3,0.1015,0.41,2024-01-09 10:00:00
EC2,1.3653,0.2865,2024-01-09 11:00:00
EC2,2.5802,0.5241,2024-01-09 12:00:00
Lambda,0.7274,0.6423,2024-01-09 13:00:00
EC2,0.9865,0.1932,2024-01-09 14:00:00
DynamoDB,0.3926,0.5665,2024-01-09 15:00:00
S3,0.1956,0.8102,2024-01-09 16:00:00
Lambda,0.886,0.7359,2024-01-09 17:00:00
RDS,3.5719,0.9121,2024-01-09 18:00:00
S3,0.1133,0.4502,2024-01-09 19:00:00
DynamoDB,0.4839,0.6291,2024-01-09 20:00:00
S3,0.0762,0.307,2024-01-09 21:00:00
DynamoDB,0.4674,0.7117,2024-01-09 22:00:00
DynamoDB,0.1703,0.2633,2024-01-09 23:00:00
RDS,1.6636,0.4461,2024-01-10 00:00:00
S3,0.1928,0.8005,2024-01-10 01:00:00
RDS,2.7675,0.8257,2024-01-10 02:00:00
RDS,0.572,0.1593,2024-01-10 03:00:00
S3,0.1382,0.5768,2024-01-10 04:00:00
EC2,0.4134,0.0865,2024-01-10 05:00:00
EC2,1.1861,0.2391,2024-01-10 06:00:00
RDS,1.967,0.5733,2024-01-10 07:00:00
Lambda,0.4514,0.3972,2024-01-10 08:00:00
RDS,1.8387,0.4875,2024-01-10 09:00:00
RDS,1.1178,0.3029,2024-01-10 10:00:00
RDS,1.362,0.3939,2024-01-10 11:00:00
EC2,2.1783,0.4786,2024-01-10 12:00:00
EC2,1.7566,0.3893,2024-01-10 13:00:00
EC2,4.2937,0.8929,2024-01-10 14:00:00
RDS,1.3101,0.3601,2024-01-10 15:00:00
Lambda,0.5667,0.4775,2024-01-10 16:00:00
EC2,3.1028,0.6228,2024-01-10 17:00:00
S3,0.0918,0.3939,2024-01-10 18:00:00
S3,0.0945,0.445,2024-01-10 19:00:00
S3,0.0505,0.197,2024-01-10 20:00:00
DynamoDB,0.5894,0.829,2024-01-10 21:00:00
RDS,2.2496,0.6153,2024-01-10 22:00:00
S3,0.2534,1.0,2024-01-10 23:00:00
RDS,1.6263,0.4744,2024-01-11 00:00:00
S3,0.0433,0.1787,2024-01-11 01:00:00
Lambda,0.3887,0.3487,2024-01-11 02:00:00
RDS,1.2623,0.3707,2024-01-11 03:00:00
S3,0.2098,0.8374,2024-01-11 04:00:00
EC2,2.5694,0.4984,2024-01-11 05:00:00
RDS,1.7758,0.5155,2024-01-11 06:00:00
DynamoDB,0.5949,0.8046,2024-01-11 07:00:00
EC2,1.3909,0.2926,2024-01-11 08:00:00
EC2,1.4516,0.3249,2024-01-11 09:00:00
DynamoDB,0.5405,0.6852,2024-01-11 10:00:00
EC2,1.0871,0.2203,2024-01-11 11:00:00
EC2,1.7321,0.3699,2024-01-11 12:00:00
S3,0.0876,0.3815,2024-01-11 13:00:00
S3,0.1172,0.5097,2024-01-11 14:00:00
RDS,1.9897,0.5541,2024-01-11 15:00:00
RDS,1.5541,0.4522,2024-01-11 16:00:00
RDS,1.437,0.3846,2024-01-11 17:00:00
S3,0.137,0.6002,2024-01-11 18:00:00
RDS,1.9418,0.5199,2024-01-11 19:00:00
EC2,0.819,0.1661,2024-01-11 20:00:00
S3,0.0907,0.3675,2024-01-11 21:00:00
RDS,1.1376,0.3473,2024-01-11 22:00:00
EC2,0.8396,0.1745,2024-01-11 23:00:00
RDS,1.8972,0.5519,2024-01-12 00:00:00
Lambda,0.6907,0.6277,2024-01-12 01:00:00
RDS,1.6463,0.4868,2024-01-12 02:00:00
Lambda,0.4446,0.3696,2024-01-12 03:00:00
RDS,1.1578,0.3279,2024-01-12 04:00:00
DynamoDB,0.4903,0.7013,2024-01-12 05:00:00
RDS,2.266,0.6671,2024-01-12 06:00:00
S3,0.1559,0.606,2024-01-12 07:00:00
S3,0.0013,0.0057,2024-01-12 08:00:00
Lambda,0.731,0.6154,2024-01-12 09:00:00
S3,0.1337,0.5742,2024-01-12 10:00:00
EC2,2.4638,0.5173,2024-01-12 11:00:00
DynamoDB,0.5349,0.7336,2024-01-12 12:00:00
DynamoDB,0.4002,0.5675,2024-01-12 13:00:00
EC2,1.8901,0.4025,2024-01-12 14:00:00
Lambda,0.68,0.5789,2024-01-12 15:00:00
EC2,2.9561,0.558,2024-01-12 16:00:00
EC2,3.1835,0.6742,2024-01-12 17:00:00
DynamoDB,0.5221,0.7402,2024-01-12 18:00:00
RDS,0.3158,0.0924,2024-01-12 19:00:00
DynamoDB,0.089,0.1258,2024-01-12 20:00:00
DynamoDB,0.3931,0.5037,2024-01-12 21:00:00
S3,0.1342,0.5654,2024-01-12 22:00:00
EC2,2.8429,0.6659,2024-01-12 23:00:00
DynamoDB,0.4091,0.5471,2024-01-13 00:00:00
EC2,1.0366,0.2043,2024-01-13 01:00:00
S3,0.1334,0.5677,2024-01-13 02:00:00
EC2,3.3489,0.6266,2024-01-13 03:00:00
DynamoDB,0.391,0.5364,2024-01-13 04:00:00
EC2,1.8758,0.4081,2024-01-13 05:00:00
S3,0.153,0.6661,2024-01-13 06:00:00
RDS,1.8073,0.5143,2024-01-13 07:00:00
EC2,2.9075,0.5958,2024-01-13 08:00:00
DynamoDB,0.4964,0.7075,2024-01-13 09:00:00
S3,0.1018,0.446,2024-01-13 10:00:00
DynamoDB,0.3016,0.4111,2024-01-13 11:00:00
DynamoDB,0.4474,0.6514,2024-01-13 12:00:00
EC2,3.4541,0.6739,2024-01-13 13:00:00
DynamoDB,0.4589,0.5827,2024-01-13 14:00:00
EC2,1.554,0.3452,2024-01-13 15:00:00
RDS,0.5582,0.1443,2024-01-13 16:00:00
DynamoDB,0.453,0.6309,2024-01-13 17:00:00
DynamoDB,0.3778,0.556,2024-01-13 18:00:00
DynamoDB,0.7168,0.9892,2024-01-13 19:00:00
Lambda,0.649,0.5219,2024-01-13 20:00:00
Lambda,0.7235,0.5962,2024-01-13 21:00:00
S3,0.084,0.3419,2024-01-13 22:00:00
Lambda,1.1224,0.8764,2024-01-13 23:00:00
S3,0.1915,0.8186,2024-01-14 00:00:00
Lambda,0.3602,0.3021,2024-01-14 01:00:00
RDS,1.9408,0.5111,2024-01-14 02:00:00
S3,0.0417,0.1615,2024-01-14 03:00:00
Lambda,0.5501,0.4684,2024-01-14 04:00:00
RDS,0.9826,0.2976,2024-01-14 05:00:00
Lambda,0.8005,0.6646,2024-01-14 06:00:00
EC2,1.0864,0.242,2024-01-14 07:00:00
EC2,2.251,0.4328,2024-01-14 08:00:00
RDS,1.4919,0.4481,2024-01-14 09:00:00
DynamoDB,0.3202,0.4509,2024-01-14 10:00:00
DynamoDB,0.0,0.0,2024-01-14 11:00:00
EC2,2.2541,0.4538,2024-01-14 12:00:00
EC2,4.4102,0.8698,2024-01-14 13:00:00
DynamoDB,0.3035,0.4462,2024-01-14 14:00:00
S3,0.2407,1.0,2024-01-14 15:00:00
DynamoDB,0.3616,0.5028,2024-01-14 16:00:00
Lambda,0.6429,0.5396,2024-01-14 17:00:00
S3,0.0899,0.3853,2024-01-14 18:00:00
Lambda,0.5761,0.4934,2024-01-14 19:00:00
EC2,1.7248,0.3574,2024-01-14 20:00:00
S3,0.1159,0.449,2024-01-14 21:00:00
Lambda,0.0,0.0,2024-01-14 22:00:00
Lambda,0.8059,0.7492,2024-01-14 23:00:00
S3,0.1016,0.4315,2024-01-15 00:00:00
RDS,0.756,0.2185,2024-01-15 01:00:00
DynamoDB,0.2176,0.2779,2024-01-15 02:00:00
Lambda,0.877,0.6871,2024-01-15 03:00:00
DynamoDB,0.4377,0.6443,2024-01-15 04:00:00
DynamoDB,0.2914,0.3951,2024-01-15 05:00:00
EC2,1.2705,0.2556,2024-01-15 06:00:00
DynamoDB,0.3193,0.4519,2024-01-15 07:00:00
Lambda,0.7877,0.6422,2024-01-15 08:00:00
EC2,2.1725,0.4278,2024-01-15 09:00:00
S3,0.0702,0.2838,2024-01-15 10:00:00
Lambda,0.7309,0.6186,2024-01-15 11:00:00
EC2,2.5434,0.5652,2024-01-15 12:00:00
EC2,3.2567,0.6848,2024-01-15 13:00:00
DynamoDB,0.2997,0.3955,2024-01-15 14:00:00
S3,0.0801,0.3591,2024-01-15 15:00:00
Lambda,0.2333,0.1887,2024-01-15 16:00:00
Lambda,0.3184,0.2439,2024-01-15 17:00:00
DynamoDB,0.0653,0.0836,2024-01-15 18:00:00
S3,0.1295,0.5422,2024-01-15 19:00:00
Lambda,0.4786,0.391,2024-01-15 20:00:00
S3,0.1247,0.4925,2024-01-15 21:00:00
Lambda,0.6321,0.5228,2024-01-15 22:00:00
DynamoDB,0.3068,0.4273,2024-01-15 23:00:00
RDS,1.8488,0.5616,2024-01-16 00:00:00
Lambda,0.2867,0.2304,2024-01-16 01:00:00
EC2,2.5404,0.5342,2024-01-16 02:00:00
EC2,2.4597,0.5037,2024-01-16 03:00:00
RDS,1.3564,0.392,2024-01-16 04:00:00
Lambda,0.6154,0.5392,2024-01-16 05:00:00
EC2,2.5542,0.5817,2024-01-16 06:00:00
EC2,3.468,0.7058,2024-01-16 07:00:00
Lambda,0.6939,0.5512,2024-01-16 08:00:00
S3,0.2101,0.8331,2024-01-16 09:00:00
Lambda,0.1481,0.1318,2024-01-16 10:00:00
S3,0.0901,0.375,2024-01-16 11:00:00
RDS,2.0939,0.6035,2024-01-16 12:00:00
DynamoDB,0.3723,0.5374,2024-01-16 13:00:00
RDS,1.2641,0.3777,2024-01-16 14:00:00
DynamoDB,0.2117,0.3154,2024-01-16 15:00:00
EC2,1.5402,0.3048,2024-01-16 16:00:00
EC2,1.6845,0.3101,2024-01-16 17:00:00
EC2,2.9001,0.5987,2024-01-16 18:00:00
S3,0.0816,0.3283,2024-01-16 19:00:00
DynamoDB,0.2788,0.3849,2024-01-16 20:00:00
EC2,4.7769,1.0,2024-01-16 21:00:00
Lambda,0.845,0.7299,2024-01-16 22:00:00
DynamoDB,0.3864,0.493,2024-01-16 23:00:00
DynamoDB,0.2942,0.3746,2024-01-17 00:00:00
S3,0.1496,0.6416,2024-01-17 01:00:00
RDS,2.365,0.6265,2024-01-17 02:00:00
S3,0.1381,0.6244,2024-01-17 03:00:00
EC2,1.6809,0.3546,2024-01-17 04:00:00
Lambda,0.6002,0.4851,2024-01-17 05:00:00
Lambda,0.5997,0.5355,2024-01-17 06:00:00
EC2,2.8494,0.576,2024-01-17 07:00:00
Lambda,0.774,0.612,2024-01-17 08:00:00
S3,0.1637,0.6668,2024-01-17 09:00:00
S3,0.1069,0.486,2024-01-17 10:00:00
EC2,2.8416,0.5859,2024-01-17 11:00:00
Lambda,0.6227,0.5543,2024-01-17 12:00:00
DynamoDB,0.2151,0.2838,2024-01-17 13:00:00
RDS,1.8319,0.4921,2024-01-17 14:00:00
DynamoDB,0.3646,0.5057,2024-01-17 15:00:00
S3,0.1608,0.6877,2024-01-17 16:00:00
S3,0.1217,0.5192,2024-01-17 17:00:00
S3,0.0976,0.4131,2024-01-17 18:00:00
S3,0.1275,0.5444,2024-01-17 19:00:00
RDS,2.5832,0.7512,2024-01-17 20:00:00
EC2,2.1718,0.4626,2024-01-17 21:00:00
S3,0.1913,0.7894,2024-01-17 22:00:00
Lambda,0.7847,0.7064,2024-01-17 23:00:00
RDS,2.0809,0.5534,2024-01-18 00:00:00
S3,0.1306,0.5165,2024-01-18 01:00:00
Lambda,0.5094,0.3965,2024-01-18 02:00:00
S3,0.2262,0.9598,2024-01-18 03:00:00
EC2,2.1156,0.4109,2024-01-18 04:00:00
RDS,2.8605,0.8159,2024-01-18 05:00:00
EC2,1.9685,0.416,2024-01-18 06:00:00
RDS,0.7938,0.2311,2024-01-18 07:00:00
S3,0.069,0.2992,2024-01-18 08:00:00
S3,0.1197,0.4931,2024-01-18 09:00:00
RDS,2.7708,0.8101,2024-01-18 10:00:00
Lambda,0.8273,0.6969,2024-01-18 11:00:00
Lambda,0.608,0.4901,2024-01-18 12:00:00
S3,0.0674,0.2755,2024-01-18 13:00:00
S3,0.1311,0.5333,2024-01-18 14:00:00
EC2,3.0063,0.5578,2024-01-18 15:00:00
S3,0.087,0.3725,2024-01-18 16:00:00
RDS,1.3138,0.3754,2024-01-18 17:00:00
Lambda,0.4736,0.3725,2024-01-18 18:00:00
Lambda,0.9141,0.7841,2024-01-18 19:00:00
EC2,1.6387,0.3335,2024-01-18 20:00:00
Lambda,0.4823,0.3896,2024-01-18 21:00:00
Lambda,0.5995,0.5406,2024-01-18 22:00:00
DynamoDB,0.6352,0.8095,2024-01-18 23:00:00
RDS,1.3325,0.3774,2024-01-19 00:00:00
DynamoDB,0.4079,0.5572,2024-01-19 01:00:00
Lambda,0.8342,0.6317,2024-01-19 02:00:00
EC2,2.1411,0.4646,2024-01-19 03:00:00
EC2,1.0365,0.2241,2024-01-19 04:00:00
Lambda,0.6452,0.4934,2024-01-19 05:00:00
S3,0.0962,0.3965,2024-01-19 06:00:00
DynamoDB,0.3789,0.4967,2024-01-19 07:00:00
Lambda,1.1681,1.0,2024-01-19 08:00:00
EC2,2.0309,0.4021,2024-01-19 09:00:00
EC2,3.3367,0.6364,2024-01-19 10:00:00
DynamoDB,0.4361,0.6168,2024-01-19 11:00:00
RDS,2.3486,0.6181,2024-01-19 12:00:00
Lambda,0.8171,0.6641,2024-01-19 13:00:00
Lambda,0.906,0.7133,2024-01-19 14:00:00
RDS,2.8858,0.7764,2024-01-19 15:00:00
DynamoDB,0.3384,0.4666,2024-01-19 16:00:00
DynamoDB,0.5119,0.7413,2024-01-19 17:00:00
EC2,2.6998,0.5737,2024-01-19 18:00:00
RDS,1.9371,0.5057,2024-01-19 19:00:00
DynamoDB,0.3884,0.5382,2024-01-19 20:00:00
S3,0.0568,0.228,2024-01-19 21:00:00
Lambda,0.8366,0.6291,2024-01-19 22:00:00
EC2,2.1276,0.4384,2024-01-19 23:00:00
RDS,2.1357,0.5499,2024-01-20 00:00:00
EC2,2.3407,0.4809,2024-01-20 01:00:00
DynamoDB,0.4517,0.6216,2024-01-20 02:00:00
DynamoDB,0.2986,0.4107,2024-01-20 03:00:00
S3,0.1627,0.7147,2024-01-20 04:00:00
Lambda,0.6098,0.5266,2024-01-20 05:00:00
RDS,2.4578,0.739,2024-01-20 06:00:00
EC2,1.8986,0.3882,2024-01-20 07:00:00
Lambda,0.9725,0.8131,2024-01-20 08:00:00
DynamoDB,0.3064,0.389,2024-01-20 09:00:00
Lambda,0.2247,0.2104,2024-01-20 10:00:00
EC2,2.7516,0.588,2024-01-20 11:00:00
Lambda,0.3675,0.2958,2024-01-20 12:00:00
DynamoDB,0.384,0.5488,2024-01-20 13:00:00
Lambda,0.3055,0.2439,2024-01-20 14:00:00
RDS,2.2569,0.63,2024-01-20 15:00:00
Lambda,0.9874,0.8693,2024-01-20 16:00:00
RDS,0.6773,0.1949,2024-01-20 17:00:00
Lambda,0.5962,0.4909,2024-01-20 18:00:00
DynamoDB,0.331,0.4518,2024-01-20 19:00:00
S3,0.0643,0.2497,2024-01-20 20:00:00
S3,0.1225,0.4836,2024-01-20 21:00:00
RDS,2.0935,0.5685,2024-01-20 22:00:00
RDS,2.2597,0.614,2024-01-20 23:00:00
S3,0.1609,0.6285,2024-01-21 00:00:00
DynamoDB,0.4021,0.5393,2024-01-21 01:00:00
DynamoDB,0.3721,0.4821,2024-01-21 02:00:00
Lambda,0.4771,0.3647,2024-01-21 03:00:00
RDS,1.6444,0.492,2024-01-21 04:00:00
DynamoDB,0.3656,0.5256,2024-01-21 05:00:00
EC2,3.1024,0.6681,2024-01-21 06:00:00
Lambda,0.4463,0.4108,2024-01-21 07:00:00
Lambda,0.4319,0.4095,2024-01-21 08:00:00
S3,0.0456,0.1832,2024-01-21 09:00:00
RDS,2.4161,0.6572,2024-01-21 10:00:00
DynamoDB,0.2202,0.3066,2024-01-21 11:00:00
DynamoDB,0.3387,0.4993,2024-01-21 12:00:00
Lambda,1.003,0.8007,2024-01-21 13:00:00
RDS,1.6431,0.4558,2024-01-21 14:00:00
RDS,1.751,0.5417,2024-01-21 15:00:00
RDS,1.5667,0.4506,2024-01-21 16:00:00
S3,0.0709,0.2997,2024-01-21 17:00:00
DynamoDB,0.6387,0.8595,2024-01-21 18:00:00
RDS,1.4285,0.3858,2024-01-21 19:00:00
S3,0.1958,0.7799,2024-01-21 20:00:00
EC2,2.3778,0.5119,2024-01-21 21:00:00
Lambda,0.7827,0.6396,2024-01-21 22:00:00
DynamoDB,0.5044,0.679,2024-01-21 23:00:00
DynamoDB,0.4975,0.7099,2024-01-22 00:00:00
Lambda,0.9252,0.7635,2024-01-22 01:00:00
EC2,4.2409,0.9151,2024-01-22 02:00:00
S3,0.2053,0.8472,2024-01-22 03:00:00
Lambda,0.4329,0.3697,2024-01-22 04:00:00
S3,0.1068,0.4359,2024-01-22 05:00:00
